Site,Integrases,Amino Acids and Derivatives,Carbohydrates,Cell Division and Cell Cycle,Cell Wall and Capsule,"Cofactors, Vitamins, Prosthetic Groups, Pigments",DNA Metabolism,"Fatty Acids, Lipids, and Isoprenoids",Iron acquisition and metabolism,Membrane Transport,Metabolism of Aromatic Compounds,Motility and Chemotaxis,Nitrogen Metabolism,Nucleosides and Nucleotides,"Phages, Prophages, Transposable elements, Plasmids",Phosphorus Metabolism,Photosynthesis,Protein Metabolism,RNA Metabolism,Regulation and Cell signaling,Respiration,Stress Response,Sulfur Metabolism,"Virulence, Disease and Defense"
LIS54_R1_done,0.266184999,7.188180699,7.879534047,0.805000474,3.73141396,3.703002178,5.67288569,1.846765792,1.032294725,3.475707927,0.577706222,0.99441235,0.937588787,5.133061843,33.35543139,0.956529974,1.136471257,8.390946112,3.305237238,1.051235912,3.257884269,2.026707075,0.700823942,2.841178142
KAU1435_R1_done,0.558169205,10.91024421,10.97367586,0.967332699,4.559150016,6.176657152,6.049793847,2.783063749,1.752299397,4.812876625,1.546146527,2.172534095,2.402473834,4.194418015,11.33840787,1.363780526,0.380589914,8.119251507,4.606723755,1.736441484,4.686013321,2.878211227,0.999048525,4.590865842
LAN1269_R1_done,0.378938971,9.465875371,10.89020772,1.137487636,4.332344214,4.985163205,5.628090999,2.433234421,1.137487636,5.084075173,1.196834817,1.473788328,1.503461919,4.53016815,16.62710188,1.37487636,0.761622156,10.02967359,4.797230465,1.068249258,4.263105836,2.997032641,0.99901088,3.283877349
Malden_R1_done,0.460030166,8.167887069,8.500037744,0.74733902,4.083943534,4.499131879,5.865478976,1.826828716,1.132331849,3.955612592,1.004000906,1.49467804,1.49467804,4.461387484,26.82116706,1.222918397,1.27576055,7.896127425,3.857477165,1.336151581,3.502679852,2.39299464,0.785083415,3.676304069
Flint_R1_done,0.740418118,11.95372751,12.10368466,0.664095973,4.862896315,7.819194516,5.998286204,4.177377892,1.863753213,5.59125964,1.649528706,2.742073693,3.084832905,3.406169666,4.11311054,1.820908312,0.064267352,6.598114824,4.905741217,1.606683805,5.312767781,2.806341045,1.156812339,5.698371894
Star7_R1_done,0.416385325,7.411167513,8.83248731,1.049069374,4.275239707,4.59108855,6.125211506,1.759729272,1.150592217,4.04963339,0.812182741,1.624365482,1.026508742,4.534686971,26.89227298,1.139311901,1.128031585,8.313592781,3.711223914,1.139311901,3.496897913,2.323745065,0.846023689,3.767625494
FFS42_R1_done,0.56260474,10.92056687,12.07574134,0.905085149,4.525425747,5.859235441,5.954507562,2.36989401,1.631535072,5.204239609,1.46480886,2.060259617,2.286530904,4.334881505,10.37275217,1.643444087,0.214362272,7.848040967,4.656424914,1.548171966,5.454328927,3.120161963,0.940812195,4.608788853
HAW1540_R1_done,0.381643861,9.908239874,11.7434424,0.899063861,4.782648994,5.496338864,6.321253128,2.919640374,0.908332561,4.513856706,1.177124849,1.408842339,1.501529335,4.625081101,12.98544814,1.195662249,0.750764668,9.806284178,4.791917694,1.381036241,4.828992492,2.984521272,1.047363055,4.022615627
NII1303_R1_done,0.650803335,11.68639805,11.40185966,0.894263503,5.446877699,6.945785275,6.701895229,3.023220365,2.154362075,5.914333621,1.77836492,2.698033637,3.01305828,3.587216097,2.672628423,1.387124638,0.015243128,8.160154464,4.821909456,1.85458056,5.543417509,3.582135054,1.000965398,5.716172959
OAH1540_R1_done,0.312411246,9.251946294,10.0812366,0.970326075,3.937718605,4.981383279,5.190116213,2.476588063,1.337019068,3.932077175,1.083154688,1.359584791,1.415999097,4.845988943,21.928241,1.478054835,0.925194629,8.360600248,4.016698635,1.026740381,4.462371657,3.074579713,0.67697168,3.187408327
PHR54_R1_done,0.30422261,4.651540366,5.966635548,0.531720583,2.930551609,3.137557332,4.968137354,1.233916467,0.48707229,2.285180826,0.54389739,0.787433535,0.621017169,4.980314162,49.03600276,0.901083736,2.544952713,5.223850306,2.11876446,0.864553314,2.098469781,1.449040062,0.503308033,2.135000203
Car9_R1_done,0.370892367,7.692307692,9.252852411,0.964298859,3.827751196,4.276775856,5.896209054,1.994847258,0.875966139,3.496503497,0.559440559,1.155686419,1.015826279,5.241074715,27.81008465,1.236658079,1.405962459,8.862716231,4.188443136,0.920132499,3.562753036,2.488038278,0.699300699,2.576370997
MOL1435_R1_done,0.573639274,10.80883817,11.16050693,1.068276823,5.056067945,5.566982947,6.734788667,2.800079623,1.718532281,4.850374892,1.16117046,1.798155398,2.32234092,3.967885343,9.879901798,1.386769292,0.27868091,9.760467122,5.075973724,1.645544423,4.299648331,3.038948975,1.055006303,4.565058722
Starbuck_R1_done,0.388898709,9.822526797,9.980671235,1.159725883,4.533473906,5.183623265,6.150061501,2.073449306,1.2300123,4.463187489,1.194869092,1.774732033,1.458443156,4.111755403,18.06360921,1.142154279,0.632577754,8.416798454,4.006325778,1.59901599,4.568617115,2.512739413,1.388156739,4.533473906
MAI1488_R1_done,0.589183825,10.19123998,11.41887724,0.894509562,4.713140037,5.576804442,6.199876619,2.461443553,1.505243677,5.336212215,1.196792104,1.610117212,1.671807526,4.534238125,12.33189389,1.26465145,0.542874769,9.444787168,4.595928439,1.499074645,4.916718075,2.942628007,1.091918569,4.059222702
FFSNCRMPI_R1_done,0.345613648,7.46836369,8.155950552,0.914344232,4.074317899,4.476629361,5.866432595,1.901836003,0.943603248,3.701265452,0.570550801,1.075268817,1.002121279,4.96671787,30.59761539,1.031380294,1.148416356,8.294930876,3.832931022,1.148416356,3.211176944,2.252944188,0.497403262,2.867383513
Millennium_R1_done,0.491400491,10.39525692,10.29249012,0.861660079,4.411067194,5.146245059,5.992094862,2.624505929,1.628458498,4.743083004,0.996047431,2.181818182,1.897233202,4.086956522,15.8972332,1.217391304,0.608695652,8.355731225,4.466403162,1.581027668,4.110671937,2.837944664,1.059288538,4.608695652
PHRwreckR1MGRAST,0.550548664,12.20017321,10.91990812,0.933840419,4.616485296,6.246940543,5.599277027,2.763866401,2.413676244,6.205520202,2.270587792,2.665963776,2.507813383,3.539556426,4.081786346,1.457242911,0.030123884,7.94517453,4.718153406,1.532552623,5.365816922,3.505667056,1.573972964,6.905900516
CWS09R1MGRAST,0.403669725,8.266860044,8.919506889,0.435097897,4.496011603,4.604786077,6.490210297,1.776649746,0.870195794,3.22697607,1.124002901,1.994198695,1.921682379,4.749818709,23.16896302,1.269035533,0.978970268,7.106598985,3.335750544,1.414068165,5.438723713,3.263234228,0.580130529,4.568527919
